trip_id,start_station_name,end_station_name,start_time,end_time,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude
TRIP_00001,Station_5,Station_13,2023-12-10 12:41:20,2024-09-29 12:41:20,31.152771,-92.49954,33.53301,-91.135349
TRIP_00002,Station_50,Station_46,2024-07-03 12:41:20,2024-05-12 12:41:20,33.441197,-96.576674,38.284765,-94.462971
TRIP_00003,Station_24,Station_47,2023-10-10 12:41:20,2023-11-13 12:41:20,31.547843,-90.43619,33.197188,-97.830474
TRIP_00004,Station_29,Station_31,2024-02-19 12:41:20,2024-01-22 12:41:20,31.902521,-95.579162,33.309139,-99.438169
TRIP_00005,Station_47,Station_49,2024-04-25 12:41:20,2024-07-25 12:41:20,34.65233,-91.625739,35.298587,-96.385377
TRIP_00006,Station_50,Station_32,2024-08-30 12:41:20,2023-10-10 12:41:20,39.12675,-96.960753,36.643203,-91.814995
TRIP_00007,Station_9,Station_47,2023-10-26 12:41:20,2024-05-28 12:41:20,30.331579,-96.830049,37.221212,-96.683447
TRIP_00008,Station_38,Station_44,2024-01-17 12:41:20,2023-11-28 12:41:20,33.439822,-99.336255,35.311148,-96.172789
TRIP_00009,Station_15,Station_31,2024-08-30 12:41:20,2024-04-15 12:41:20,30.174372,-93.388855,31.675539,-97.270235
TRIP_00010,Station_23,Station_22,2024-07-01 12:41:20,2023-11-11 12:41:20,35.17244,-98.591513,39.888671,-95.890299
TRIP_00011,Station_29,Station_4,2024-04-22 12:41:20,2023-12-17 12:41:20,30.396198,-92.015638,35.138939,-94.61297
TRIP_00012,Station_45,Station_50,2024-05-10 12:41:20,2023-12-15 12:41:20,33.293199,-92.306273,30.210211,-92.897298
TRIP_00013,Station_43,Station_45,2024-06-30 12:41:20,2023-11-20 12:41:20,37.872413,-98.56396,37.262031,-97.683685
TRIP_00014,Station_32,Station_31,2024-02-09 12:41:20,2023-12-08 12:41:20,32.282183,-99.727748,32.152296,-95.49552
TRIP_00015,Station_42,Station_27,2024-05-21 12:41:20,2024-01-09 12:41:20,38.396331,-91.667119,33.012824,-97.494399
TRIP_00016,Station_13,Station_7,2023-10-10 12:41:20,2023-12-01 12:41:20,30.137677,-97.75384,31.363674,-94.090179
TRIP_00017,Station_9,Station_10,2024-05-26 12:41:20,2024-02-11 12:41:20,33.054296,-90.806538,32.756676,-94.683881
TRIP_00018,Station_37,Station_35,2023-12-02 12:41:20,2024-07-20 12:41:20,37.239394,-99.063246,33.635798,-97.10175
TRIP_00019,Station_13,Station_18,2024-06-09 12:41:20,2024-03-17 12:41:20,35.384369,-95.347311,37.209942,-99.659635
TRIP_00020,Station_40,Station_39,2024-04-18 12:41:20,2024-01-23 12:41:20,37.95616,-97.717931,37.010998,-93.597793
TRIP_00021,Station_48,Station_6,2024-09-05 12:41:20,2024-05-28 12:41:20,37.240527,-99.753209,32.172347,-93.511965
TRIP_00022,Station_16,Station_24,2024-04-14 12:41:20,2024-04-06 12:41:20,34.235674,-95.87546,33.668116,-97.99509
TRIP_00023,Station_48,Station_37,2024-05-08 12:41:20,2023-10-13 12:41:20,38.774593,-91.61355,32.303929,-99.117772
TRIP_00024,Station_46,Station_29,2024-01-11 12:41:20,2024-08-30 12:41:20,39.926763,-99.845775,35.360595,-97.138785
TRIP_00025,Station_50,Station_49,2023-10-29 12:41:20,2023-11-05 12:41:20,36.51551,-96.0437,33.887999,-97.438718
TRIP_00026,Station_27,Station_5,2023-12-19 12:41:20,2023-12-28 12:41:20,37.646235,-96.947061,32.182528,-93.337719
TRIP_00027,Station_11,Station_6,2024-03-09 12:41:20,2024-03-21 12:41:20,30.445776,-95.428071,36.313574,-93.024486
TRIP_00028,Station_35,Station_6,2024-02-13 12:41:20,2023-10-21 12:41:20,34.509049,-90.15041,33.410124,-97.776108
TRIP_00029,Station_32,Station_18,2024-04-15 12:41:20,2024-08-25 12:41:20,34.218352,-95.121695,34.520569,-99.643333
TRIP_00030,Station_16,Station_39,2024-08-09 12:41:20,2024-04-12 12:41:20,38.857243,-90.747975,31.052781,-94.067787
TRIP_00031,Station_43,Station_49,2024-08-19 12:41:20,2024-03-13 12:41:20,34.355413,-95.749163,37.547784,-93.012446
TRIP_00032,Station_16,Station_32,2023-12-03 12:41:20,2024-03-24 12:41:20,32.53014,-98.376313,31.607077,-97.634792
TRIP_00033,Station_7,Station_20,2024-06-14 12:41:20,2024-04-05 12:41:20,35.488625,-91.696944,35.340366,-92.009027
TRIP_00034,Station_37,Station_37,2024-06-22 12:41:20,2023-12-24 12:41:20,31.351763,-96.156937,38.84336,-95.245598
TRIP_00035,Station_17,Station_47,2024-09-05 12:41:20,2023-11-01 12:41:20,32.105773,-96.259432,39.411102,-96.0398
TRIP_00036,Station_47,Station_22,2024-09-04 12:41:20,2023-10-23 12:41:20,37.058146,-90.946202,30.648619,-97.645479
