application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission
1,Female,False,3.3,Business,Asian,620.0,3.0,Financial Services,Admit
2,Male,False,3.28,Humanities,Black,680.0,5.0,Investment Management,
3,Female,True,3.3,Business,,710.0,5.0,Technology,Admit
4,Male,False,3.47,STEM,Black,690.0,6.0,Technology,
5,Male,False,3.35,STEM,Hispanic,590.0,5.0,Consulting,
6,Male,False,3.18,Business,White,610.0,6.0,Consulting,
7,Female,False,2.93,STEM,Other,590.0,3.0,Technology,Admit
8,Male,True,3.02,Business,,630.0,6.0,Financial Services,
9,Male,False,3.24,Business,White,590.0,2.0,Nonprofit/Gov,
10,Male,False,3.27,Humanities,Asian,690.0,3.0,Consulting,
11,Male,False,3.05,Humanities,White,580.0,5.0,Technology,
12,Male,True,2.85,Humanities,,580.0,4.0,PE/VC,
13,Female,False,3.24,Humanities,Hispanic,640.0,6.0,PE/VC,Waitlist
14,Female,False,3.39,Business,Black,690.0,4.0,Nonprofit/Gov,
15,Female,False,3.03,STEM,White,600.0,5.0,Technology,Admit
16,Female,True,3.05,Humanities,,710.0,4.0,Consulting,Admit
17,Female,False,3.32,Business,Asian,710.0,5.0,PE/VC,Admit
18,Male,False,3.23,Humanities,Black,700.0,4.0,Health Care,
19,Male,False,3.13,Humanities,White,630.0,6.0,Financial Services,
20,Male,True,3.09,Business,,670.0,8.0,Consulting,
21,Male,False,3.46,Business,White,760.0,5.0,Investment Banking,Admit
22,Female,False,3.64,Humanities,Black,710.0,6.0,Financial Services,
23,Female,True,3.42,Business,,640.0,6.0,Consulting,Admit
24,Male,False,3.4,Business,White,680.0,6.0,PE/VC,
25,Female,False,3.47,STEM,White,710.0,5.0,Consulting,Admit
26,Male,False,3.26,Humanities,Asian,690.0,5.0,Technology,Admit
27,Male,True,2.99,STEM,,640.0,5.0,Consulting,
28,Male,False,3.39,STEM,Other,730.0,4.0,Other,
29,Male,False,3.08,Business,Asian,570.0,7.0,Retail,
30,Male,True,3.65,STEM,,700.0,5.0,Consulting,Admit
31,Male,True,3.04,STEM,,610.0,4.0,Consulting,
32,Male,False,3.19,Humanities,White,580.0,5.0,PE/VC,
33,Male,False,3.33,Humanities,Black,700.0,6.0,Investment Banking,
34,Female,False,3.53,STEM,White,710.0,5.0,Consulting,Admit
35,Male,False,3.5,Business,White,650.0,7.0,Consulting,
36,Male,True,3.22,Humanities,,670.0,4.0,Other,
37,Male,False,3.5,STEM,Hispanic,720.0,5.0,Health Care,
38,Female,False,3.16,STEM,Black,590.0,4.0,Investment Management,
39,Female,False,3.3,Humanities,Asian,740.0,6.0,Investment Banking,Admit
40,Female,False,3.45,Humanities,Asian,640.0,3.0,PE/VC,Admit
41,Female,True,3.12,Business,,610.0,4.0,PE/VC,Admit
42,Female,True,3.41,Business,,600.0,7.0,Nonprofit/Gov,Admit
43,Male,False,3.38,Humanities,Asian,720.0,5.0,Consulting,
44,Female,False,2.93,Humanities,Other,590.0,4.0,Consulting,Admit
45,Male,False,3.27,STEM,Other,650.0,5.0,Consulting,
46,Male,False,3.32,STEM,Asian,730.0,4.0,Health Care,
47,Male,True,3.13,Humanities,,610.0,5.0,PE/VC,
48,Male,False,3.33,STEM,Hispanic,720.0,7.0,Consulting,Admit
49,Male,False,3.23,STEM,Black,660.0,6.0,Other,
50,Male,False,3.38,STEM,Hispanic,680.0,5.0,Consulting,
51,Male,False,3.26,Business,White,670.0,6.0,Consulting,Waitlist
52,Male,False,3.43,Business,Asian,650.0,4.0,Nonprofit/Gov,
53,Male,False,3.19,Business,White,650.0,5.0,Financial Services,
54,Female,False,3.23,STEM,Asian,700.0,6.0,PE/VC,Admit
55,Male,False,2.96,STEM,Black,610.0,6.0,Consulting,
56,Female,False,3.44,STEM,Black,680.0,4.0,PE/VC,
57,Male,False,3.09,Business,Other,610.0,6.0,Consulting,
58,Female,True,3.05,Business,,650.0,7.0,Health Care,Admit
59,Male,True,3.01,Humanities,,660.0,6.0,Consulting,
60,Male,False,3.41,Humanities,White,740.0,4.0,Financial Services,
61,Female,False,3.27,Business,White,670.0,5.0,Consulting,Admit
62,Male,False,3.13,Humanities,Black,630.0,5.0,Financial Services,
63,Female,True,3.0,STEM,,640.0,3.0,Financial Services,Admit
64,Male,False,3.36,STEM,Black,650.0,5.0,Technology,
65,Female,False,3.39,Humanities,White,680.0,5.0,Investment Banking,Admit
66,Male,True,3.31,Business,,670.0,4.0,Nonprofit/Gov,
67,Male,False,3.07,STEM,Other,570.0,6.0,Other,
68,Male,False,3.53,STEM,White,690.0,5.0,Technology,
69,Male,False,3.49,Business,Black,620.0,4.0,Energy,
70,Male,False,3.41,Humanities,White,690.0,6.0,Technology,Admit
71,Male,True,3.34,STEM,,690.0,5.0,Nonprofit/Gov,
72,Female,False,3.33,Humanities,Hispanic,680.0,5.0,Consulting,Waitlist
73,Female,True,3.34,STEM,,680.0,5.0,PE/VC,Admit
74,Female,True,2.89,Humanities,,670.0,5.0,Consulting,Admit
75,Female,True,3.35,Business,,640.0,5.0,PE/VC,Admit
76,Female,False,3.24,Humanities,Hispanic,590.0,4.0,Nonprofit/Gov,Waitlist
77,Male,False,3.18,Humanities,Black,640.0,4.0,PE/VC,
78,Male,True,3.2,Humanities,,640.0,5.0,Nonprofit/Gov,
79,Male,False,3.17,Business,Hispanic,640.0,4.0,Other,
80,Female,False,3.1,STEM,Asian,680.0,4.0,Health Care,Admit
81,Male,False,2.93,Humanities,Hispanic,620.0,4.0,Technology,
82,Male,True,3.2,STEM,,730.0,4.0,PE/VC,
83,Male,False,3.52,STEM,Hispanic,610.0,6.0,Consulting,
84,Female,False,3.35,Humanities,White,710.0,6.0,Consulting,Admit
85,Male,False,3.15,STEM,Hispanic,620.0,4.0,PE/VC,
86,Male,False,3.21,Business,Hispanic,640.0,6.0,Nonprofit/Gov,
87,Male,False,3.1,Business,Hispanic,670.0,7.0,Financial Services,
88,Male,False,3.48,Business,White,710.0,5.0,Consulting,Admit
89,Male,False,3.15,Humanities,Asian,650.0,6.0,Consulting,
90,Male,False,3.09,Business,Other,610.0,6.0,Consulting,
91,Female,False,3.14,Humanities,Hispanic,660.0,6.0,Consulting,
92,Male,False,2.97,STEM,Asian,580.0,4.0,Consulting,
93,Male,False,3.17,STEM,White,670.0,5.0,PE/VC,
94,Female,False,3.23,Humanities,White,620.0,7.0,Nonprofit/Gov,Admit
95,Female,False,3.05,Humanities,White,600.0,5.0,Other,Admit
96,Male,False,3.32,Business,Black,670.0,4.0,Consulting,Admit
97,Male,False,3.08,Humanities,Asian,640.0,5.0,Technology,
98,Male,True,3.36,STEM,,690.0,5.0,CPG,
99,Male,False,3.1,Humanities,White,610.0,5.0,Health Care,
100,Female,False,3.38,Humanities,White,660.0,5.0,Consulting,Admit
101,Male,False,3.26,Humanities,Hispanic,650.0,6.0,Real Estate,
